strata,pop,treatment,__variable,__x,__cdf,male
overall,ATT-weighted,0,age,36.942702399,0.0640206794,
overall,ATT-weighted,0,age,37.70178477,0.0753073877,
overall,ATT-weighted,0,age,38.46086714,0.0876944219,
overall,ATT-weighted,0,age,39.21994951,0.1019240003,
overall,ATT-weighted,0,age,39.979031881,0.115387814,
overall,ATT-weighted,0,age,40.738114251,0.1306070588,
overall,ATT-weighted,0,age,41.497196621,0.1448390159,
overall,ATT-weighted,0,age,42.256278992,0.1633271305,
overall,ATT-weighted,0,age,43.015361362,0.1821467494,
overall,ATT-weighted,0,age,43.774443732,0.2015226526,
overall,ATT-weighted,0,age,44.533526103,0.2231778111,
overall,ATT-weighted,0,age,45.292608473,0.245825067,
overall,ATT-weighted,0,age,46.051690843,0.2738394576,
overall,ATT-weighted,0,age,46.810773214,0.2949258352,
overall,ATT-weighted,0,age,47.569855584,0.3253740005,
overall,ATT-weighted,0,age,48.328937954,0.3526874243,
overall,ATT-weighted,0,age,49.088020325,0.3815487894,
overall,ATT-weighted,0,age,49.847102695,0.4079352228,
overall,ATT-weighted,0,age,50.606185065,0.4398477975,
overall,ATT-weighted,0,age,51.365267436,0.4707938343,
overall,ATT-weighted,0,age,52.124349806,0.5028601074,
overall,ATT-weighted,0,age,52.883432176,0.533815618,
overall,ATT-weighted,0,age,53.642514547,0.5707801105,
overall,ATT-weighted,0,age,54.401596917,0.5986609306,
overall,ATT-weighted,0,age,55.160679287,0.6300667484,
overall,ATT-weighted,0,age,55.919761658,0.6603231239,
overall,ATT-weighted,0,age,56.678844028,0.680864703,
overall,ATT-weighted,0,age,57.437926398,0.7099132026,
overall,ATT-weighted,0,age,58.197008769,0.7354115625,
overall,ATT-weighted,0,age,58.956091139,0.7534990559,
overall,ATT-weighted,0,age,59.715173509,0.7733247316,
overall,ATT-weighted,0,age,60.47425588,0.7948730568,
overall,ATT-weighted,0,age,61.23333825,0.8131006862,
overall,ATT-weighted,0,age,61.99242062,0.834002252,
overall,ATT-weighted,0,age,62.751502991,0.8500958032,
overall,ATT-weighted,0,age,63.510585361,0.868160973,
overall,ATT-weighted,0,age,64.269667731,0.8847192014,
overall,ATT-weighted,0,age,65.028750102,0.9020087458,
overall,ATT-weighted,0,age,65.787832472,0.9182917447,
overall,ATT-weighted,0,age,66.546914842,0.9290037421,
overall,ATT-weighted,0,age,67.305997213,0.9382382258,
overall,ATT-weighted,0,age,68.065079583,0.9426433318,
overall,ATT-weighted,0,age,68.824161953,0.9494117207,
overall,ATT-weighted,0,age,69.583244324,0.9573015128,
overall,ATT-weighted,0,age,70.342326694,0.9657137161,
overall,ATT-weighted,0,age,71.101409064,0.9733682184,
overall,ATT-weighted,0,age,71.860491435,0.9817042589,
overall,ATT-weighted,0,age,72.619573805,0.9825037355,
overall,ATT-weighted,0,age,73.378656175,0.9836635411,
overall,ATT-weighted,0,age,74.137738546,0.9845989509,
overall,ATT-weighted,0,age,74.896820916,0.9850252918,
overall,ATT-weighted,0,age,75.655903286,0.9862154677,
overall,ATT-weighted,0,age,76.414985657,0.9924231968,
overall,ATT-weighted,0,age,77.174068027,0.9926127122,
overall,ATT-weighted,0,age,77.933150397,0.9930453531,
overall,ATT-weighted,0,age,78.692232768,0.9930453531,
overall,ATT-weighted,0,age,79.451315138,0.994250149,
overall,ATT-weighted,0,age,80.210397508,0.9944548991,
overall,ATT-weighted,0,age,80.969479879,0.9944548991,
overall,ATT-weighted,0,age,81.728562249,0.9997700941,
overall,ATT-weighted,0,age,82.487644619,0.9997700941,
overall,ATT-weighted,0,age,83.24672699,1,
overall,ATT-weighted,1,age,13.36397171,0.0002018163,
overall,ATT-weighted,1,age,14.078234663,0.0002018163,
overall,ATT-weighted,1,age,14.792497616,0.0004036327,
overall,ATT-weighted,1,age,15.506760568,0.0004036327,
overall,ATT-weighted,1,age,16.221023521,0.0004036327,
overall,ATT-weighted,1,age,16.935286474,0.0004036327,
overall,ATT-weighted,1,age,17.649549426,0.0004036327,
overall,ATT-weighted,1,age,18.363812379,0.000605449,
overall,ATT-weighted,1,age,19.078075332,0.000605449,
overall,ATT-weighted,1,age,19.792338285,0.000605449,
overall,ATT-weighted,1,age,20.506601237,0.0014127144,
overall,ATT-weighted,1,age,21.22086419,0.0016145308,
overall,ATT-weighted,1,age,21.935127143,0.0016145308,
overall,ATT-weighted,1,age,22.649390095,0.0018163471,
overall,ATT-weighted,1,age,23.363653048,0.0024217962,
overall,ATT-weighted,1,age,24.077916001,0.0026236125,
overall,ATT-weighted,1,age,24.792178954,0.0032290616,
overall,ATT-weighted,1,age,25.506441906,0.0038345106,
overall,ATT-weighted,1,age,26.220704859,0.0050454087,
overall,ATT-weighted,1,age,26.934967812,0.0058526741,
overall,ATT-weighted,1,age,27.649230764,0.0074672048,
overall,ATT-weighted,1,age,28.363493717,0.0082744702,
overall,ATT-weighted,1,age,29.07775667,0.0104944501,
overall,ATT-weighted,1,age,29.792019622,0.0123107972,
overall,ATT-weighted,1,age,30.506282575,0.015136226,
overall,ATT-weighted,1,age,31.220545528,0.0177598385,
overall,ATT-weighted,1,age,31.934808481,0.0205852674,
overall,ATT-weighted,1,age,32.649071433,0.0240161453,
overall,ATT-weighted,1,age,33.363334386,0.0276488396,
overall,ATT-weighted,1,age,34.077597339,0.0324924319,
overall,ATT-weighted,1,age,34.791860291,0.0385469223,
overall,ATT-weighted,1,age,35.506123244,0.0466195762,
overall,ATT-weighted,1,age,36.220386197,0.0563067608,
overall,ATT-weighted,1,age,36.93464915,0.0653884965,
overall,ATT-weighted,1,age,37.648912102,0.0740665994,
overall,ATT-weighted,1,age,38.363175055,0.0845610494,
overall,ATT-weighted,1,age,39.077438008,0.0966700303,
overall,ATT-weighted,1,age,39.79170096,0.1109989909,
overall,ATT-weighted,1,age,40.505963913,0.1253279516,
overall,ATT-weighted,1,age,41.220226866,0.1428859738,
overall,ATT-weighted,1,age,41.934489819,0.1592330979,
overall,ATT-weighted,1,age,42.648752771,0.1757820383,
overall,ATT-weighted,1,age,43.363015724,0.1981836529,
overall,ATT-weighted,1,age,44.077278677,0.2157416751,
overall,ATT-weighted,1,age,44.791541629,0.2375378406,
overall,ATT-weighted,1,age,45.505804582,0.2609485368,
overall,ATT-weighted,1,age,46.220067535,0.2813319879,
overall,ATT-weighted,1,age,46.934330487,0.3035317861,
overall,ATT-weighted,1,age,47.64859344,0.3283551968,
overall,ATT-weighted,1,age,48.362856393,0.3578203835,
overall,ATT-weighted,1,age,49.077119346,0.3828456105,
overall,ATT-weighted,1,age,49.791382298,0.4119071645,
overall,ATT-weighted,1,age,50.505645251,0.4427850656,
overall,ATT-weighted,1,age,51.219908204,0.4706357215,
overall,ATT-weighted,1,age,51.934171156,0.4992936428,
overall,ATT-weighted,1,age,52.648434109,0.5305751766,
overall,ATT-weighted,1,age,53.362697062,0.561049445,
overall,ATT-weighted,1,age,54.076960015,0.5895055499,
overall,ATT-weighted,1,age,54.791222967,0.6171543895,
overall,ATT-weighted,1,age,55.50548592,0.6464177598,
overall,ATT-weighted,1,age,56.219748873,0.67790111,
overall,ATT-weighted,1,age,56.934011825,0.7049445005,
overall,ATT-weighted,1,age,57.648274778,0.726740666,
overall,ATT-weighted,1,age,58.362537731,0.7507568113,
overall,ATT-weighted,1,age,59.076800684,0.7727547931,
overall,ATT-weighted,1,age,59.791063636,0.7919273461,
overall,ATT-weighted,1,age,60.505326589,0.8119071645,
overall,ATT-weighted,1,age,61.219589542,0.8310797175,
overall,ATT-weighted,1,age,61.933852494,0.8486377397,
overall,ATT-weighted,1,age,62.648115447,0.8657921292,
overall,ATT-weighted,1,age,63.3623784,0.8809283552,
overall,ATT-weighted,1,age,64.076641352,0.8934409687,
overall,ATT-weighted,1,age,64.790904305,0.9055499495,
overall,ATT-weighted,1,age,65.505167258,0.916851665,
overall,ATT-weighted,1,age,66.219430211,0.9285570131,
overall,ATT-weighted,1,age,66.933693163,0.9380423814,
overall,ATT-weighted,1,age,67.647956116,0.9471241171,
overall,ATT-weighted,1,age,68.362219069,0.9541876892,
overall,ATT-weighted,1,age,69.076482021,0.9608476287,
overall,ATT-weighted,1,age,69.790744974,0.9658930373,
overall,ATT-weighted,1,age,70.505007927,0.9715438951,
overall,ATT-weighted,1,age,71.21927088,0.974974773,
overall,ATT-weighted,1,age,71.933533832,0.9794147326,
overall,ATT-weighted,1,age,72.647796785,0.9828456105,
overall,ATT-weighted,1,age,73.362059738,0.9864783047,
overall,ATT-weighted,1,age,74.07632269,0.9893037336,
overall,ATT-weighted,1,age,74.790585643,0.9913218971,
overall,ATT-weighted,1,age,75.504848596,0.9927346115,
overall,ATT-weighted,1,age,76.219111549,0.9941473259,
overall,ATT-weighted,1,age,76.933374501,0.9957618567,
overall,ATT-weighted,1,age,77.647637454,0.9963673058,
overall,ATT-weighted,1,age,78.361900407,0.9967709384,
overall,ATT-weighted,1,age,79.076163359,0.9971745711,
overall,ATT-weighted,1,age,79.790426312,0.9973763875,
overall,ATT-weighted,1,age,80.504689265,0.9981836529,
overall,ATT-weighted,1,age,81.218952217,0.9985872856,
overall,ATT-weighted,1,age,81.93321517,0.9989909183,
overall,ATT-weighted,1,age,82.647478123,0.999394551,
overall,ATT-weighted,1,age,83.361741076,0.9995963673,
overall,ATT-weighted,1,age,84.076004028,1,
overall,Matched,0,age,15.75876236,0.0002020202,
overall,Matched,0,age,16.440458972,0.0002020202,
overall,Matched,0,age,17.122155584,0.0002020202,
overall,Matched,0,age,17.803852197,0.0002020202,
overall,Matched,0,age,18.485548809,0.0006060606,
overall,Matched,0,age,19.167245422,0.0006060606,
overall,Matched,0,age,19.848942034,0.0006060606,
overall,Matched,0,age,20.530638647,0.0008080808,
overall,Matched,0,age,21.212335259,0.0008080808,
overall,Matched,0,age,21.894031871,0.0008080808,
overall,Matched,0,age,22.575728484,0.0008080808,
overall,Matched,0,age,23.257425096,0.001010101,
overall,Matched,0,age,23.939121709,0.0016161616,
overall,Matched,0,age,24.620818321,0.002020202,
overall,Matched,0,age,25.302514934,0.0022222222,
overall,Matched,0,age,25.984211546,0.0036363636,
overall,Matched,0,age,26.665908158,0.004040404,
overall,Matched,0,age,27.347604771,0.0044444444,
overall,Matched,0,age,28.029301383,0.0050505051,
overall,Matched,0,age,28.710997996,0.0072727273,
overall,Matched,0,age,29.392694608,0.0080808081,
overall,Matched,0,age,30.074391221,0.0115151515,
overall,Matched,0,age,30.756087833,0.0131313131,
overall,Matched,0,age,31.437784445,0.0161616162,
overall,Matched,0,age,32.119481058,0.0204040404,
overall,Matched,0,age,32.80117767,0.0242424242,
overall,Matched,0,age,33.482874283,0.0286868687,
overall,Matched,0,age,34.164570895,0.0327272727,
overall,Matched,0,age,34.846267508,0.0373737374,
overall,Matched,0,age,35.52796412,0.0446464646,
overall,Matched,0,age,36.209660732,0.0541414141,
overall,Matched,0,age,36.891357345,0.0624242424,
overall,Matched,0,age,37.573053957,0.0725252525,
overall,Matched,0,age,38.25475057,0.0806060606,
overall,Matched,0,age,38.936447182,0.0923232323,
overall,Matched,0,age,39.618143795,0.1032323232,
overall,Matched,0,age,40.299840407,0.1143434343,
overall,Matched,0,age,40.981537019,0.1290909091,
overall,Matched,0,age,41.663233632,0.1406060606,
overall,Matched,0,age,42.344930244,0.1557575758,
overall,Matched,0,age,43.026626857,0.1707070707,
overall,Matched,0,age,43.708323469,0.1907070707,
overall,Matched,0,age,44.390020081,0.2080808081,
overall,Matched,0,age,45.071716694,0.2272727273,
overall,Matched,0,age,45.753413306,0.2434343434,
overall,Matched,0,age,46.435109919,0.2731313131,
overall,Matched,0,age,47.116806531,0.2963636364,
overall,Matched,0,age,47.798503144,0.3252525253,
overall,Matched,0,age,48.480199756,0.3563636364,
overall,Matched,0,age,49.161896368,0.3846464646,
overall,Matched,0,age,49.843592981,0.4096969697,
overall,Matched,0,age,50.525289593,0.4470707071,
overall,Matched,0,age,51.206986206,0.4715151515,
overall,Matched,0,age,51.888682818,0.5044444444,
overall,Matched,0,age,52.570379431,0.5331313131,
overall,Matched,0,age,53.252076043,0.5628282828,
overall,Matched,0,age,53.933772655,0.5903030303,
overall,Matched,0,age,54.615469268,0.6165656566,
overall,Matched,0,age,55.29716588,0.6470707071,
overall,Matched,0,age,55.978862493,0.6741414141,
overall,Matched,0,age,56.660559105,0.6898989899,
overall,Matched,0,age,57.342255718,0.7167676768,
overall,Matched,0,age,58.02395233,0.7468686869,
overall,Matched,0,age,58.705648942,0.7644444444,
overall,Matched,0,age,59.387345555,0.7864646465,
overall,Matched,0,age,60.069042167,0.8048484848,
overall,Matched,0,age,60.75073878,0.8212121212,
overall,Matched,0,age,61.432435392,0.8349494949,
overall,Matched,0,age,62.114132005,0.8507070707,
overall,Matched,0,age,62.795828617,0.8692929293,
overall,Matched,0,age,63.477525229,0.8804040404,
overall,Matched,0,age,64.159221842,0.8961616162,
overall,Matched,0,age,64.840918454,0.9070707071,
overall,Matched,0,age,65.522615067,0.9248484848,
overall,Matched,0,age,66.204311679,0.9355555556,
overall,Matched,0,age,66.886008292,0.9462626263,
overall,Matched,0,age,67.567704904,0.9543434343,
overall,Matched,0,age,68.249401516,0.9585858586,
overall,Matched,0,age,68.931098129,0.9632323232,
overall,Matched,0,age,69.612794741,0.9684848485,
overall,Matched,0,age,70.294491354,0.9763636364,
overall,Matched,0,age,70.976187966,0.9856565657,
overall,Matched,0,age,71.657884579,0.9888888889,
overall,Matched,0,age,72.339581191,0.9903030303,
overall,Matched,0,age,73.021277803,0.9919191919,
overall,Matched,0,age,73.702974416,0.9927272727,
overall,Matched,0,age,74.384671028,0.9929292929,
overall,Matched,0,age,75.066367641,0.9931313131,
overall,Matched,0,age,75.748064253,0.9935353535,
overall,Matched,0,age,76.429760865,0.9951515152,
overall,Matched,0,age,77.111457478,0.9951515152,
overall,Matched,0,age,77.79315409,0.9963636364,
overall,Matched,0,age,78.474850703,0.9963636364,
overall,Matched,0,age,79.156547315,0.9965656566,
overall,Matched,0,age,79.838243928,0.9973737374,
overall,Matched,0,age,80.51994054,0.9973737374,
